Vak,Omschrijving,Onderwijsniveau,Onderwijsgraad,Thema
Mens en maatschappij,"Mens, maatschappij, tijd, ruimte, verkeer","Lager onderwijs,Kleuteronderwijs","Lager 1ste graad,Lager 2de graad,Lager 3de graad","Gezondheid en gezondheidszorg,Voeding en horeca,Politiek en overheid,Recht,Participatie,Relaties en seksualiteit,Psychologie,Opvoeding en ontwikkeling,Identiteit,Armoede en welvaart,Normen en waarden,Rolpatronen en stereotypen,Rampen en conflicten,Filosofie,Prehistorie,Oudheid,Middeleeuwen,Vroegmoderne tijd,Moderne tijd,Hedendaagse tijd,Erfgoed,Verkeer en mobiliteit,Toerisme,Weer en klimaat,Bevolking en ruimtelijke ordening,Landschap en reliëf,Het heelal,Milieu en ecologie,Mediawijsheid"
Muzische vorming,"Beeld, muziek, drama, beweging, media. Zelf-expressie en beleving.","Lager onderwijs,Kleuteronderwijs","Lager 1ste graad,Lager 2de graad,Lager 3de graad","Podiumkunsten,Beeldende kunsten,Media en communicatie"
Wetenschappen en techniek,"Wetenschappen, techniek, natuur","Lager onderwijs,Kleuteronderwijs","Lager 1ste graad,Lager 2de graad,Lager 3de graad","Milieu en ecologie,Chemie,Biologie,Fysica,Constructie en productie,Land- en tuinbouw"
ICT,"ICT, computationeel denken",Lager onderwijs,"Lager 1ste graad,Lager 2de graad,Lager 3de graad","Digitale vaardigheden en informatica,Mediawijsheid"
Leren leren,Leren een leertaak zelfstandig tot een goed einde brengen,Lager onderwijs,"Lager 1ste graad,Lager 2de graad,Lager 3de graad",Leren en onderzoeken
Sociale vaardigheden,"Sociale interactie, sociale relaties, dialoog, participatie",Lager onderwijs,"Lager 1ste graad,Lager 2de graad,Lager 3de graad","Media en communicatie,Relaties en seksualiteit,Participatie"
aardrijkskunde,"Aarde, ruimte, reliëf, bevolking, weer en klimaat, natuurverschijnselen",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Verkeer en mobiliteit,Toerisme,Weer en klimaat,Landschap en reliëf,Het heelal,Milieu en ecologie,Bevolking en ruimtelijke ordening"
artistieke expressie,"Verkennen van dans, beeld, muziek, expressie - woord (basis)",Secundair onderwijs,"Secundair 1ste graad,Secundair 2de graad,Secundair 3de graad","Podiumkunsten,Beeldende kunsten"
bedrijfswetenschappen,"Economie, consumentenzaken, goederenmarkt, kapitaalmarkt, organisatie van bedrijven, handelsmarkten",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Bedrijfsbeheer,Economie,Recht"
bewegingswetenschappen,"Bewegen en motoriek, revalidatie, anatomie, spieren, kracht en weerstand (fysica)",Secundair onderwijs,"Secundair 2de graad,Secundair 3de graad","Sport en spel,Gezondheid en gezondheidszorg"
biochemie,"Zuren en basen, elektrolyse, redoxreacties, microscoop, labo analyse",Secundair onderwijs,Secundair 3de graad,"Chemie,Biologie"
